"Date","Item_ID","Item_Type","Item_Name","Current_Stock","Min_Required","Max_Capacity","Unit_Cost","Avg_Usage_Per_Day","Restock_Lead_Time","Vendor_ID","days_on_hand","lead_time_demand","adjusted_reorder_point","inventory_status"
"2024-10-01",105,Consumable,Ventilator,1542,264,1018,4467.55,108,17,V001,14.3,1836,2203,Stockout Risk
"2024-10-02",100,Equipment,Ventilator,2487,656,3556,5832.29,55,12,V001,45.2,660,792,Healthy
"2024-10-03",103,Equipment,Surgical Mask,2371,384,5562,16062.98,470,6,V001,5.0,2820,3384,Stockout Risk
"2024-10-04",103,Consumable,Surgical Mask,2038,438,1131,744.1,207,15,V002,9.8,3105,3726,Stockout Risk
"2024-10-05",107,Equipment,IV Drip,2410,338,1013,15426.53,158,12,V003,15.3,1896,2275,Potential Overstock
"2024-10-06",109,Equipment,IV Drip,2258,402,1715,15246.06,386,26,V002,5.8,10036,12043,Stockout Risk
"2024-10-07",103,Consumable,IV Drip,387,210,3765,1631.28,207,24,V003,1.9,4968,5962,Stockout Risk
"2024-10-08",105,Equipment,IV Drip,123,502,2161,16620.81,257,11,V002,0.5,2827,3392,Stockout Risk
"2024-10-09",102,Consumable,Ventilator,790,751,1801,3441.26,16,20,V001,49.4,320,384,Healthy
"2024-10-10",104,Equipment,Gloves,2448,28,1314,2729.08,418,5,V002,5.9,2090,2508,Potential Overstock
"2024-10-11",107,Equipment,Surgical Mask,3451,12,2292,3328.44,161,21,V001,21.4,3381,4057,Potential Overstock
"2024-10-12",106,Consumable,Surgical Mask,4510,207,4298,55.66,254,8,V003,17.8,2032,2438,Potential Overstock
"2024-10-13",108,Consumable,X-ray Machine,3298,231,3736,10669.37,244,2,V001,13.5,488,586,Potential Overstock
"2024-10-14",108,Consumable,Gloves,789,515,4238,7379.83,230,24,V002,3.4,5520,6624,Stockout Risk
"2024-10-15",101,Consumable,Gloves,4719,239,2184,2865.49,198,24,V003,23.8,4752,5702,Stockout Risk
"2024-10-16",106,Equipment,Surgical Mask,3465,622,4936,17374.64,415,25,V002,8.3,10375,12450,Stockout Risk
"2024-10-17",107,Equipment,Gloves,466,372,3426,10124.28,106,26,V002,4.4,2756,3307,Stockout Risk
"2024-10-18",107,Consumable,X-ray Machine,2410,167,3633,6974.49,176,6,V002,13.7,1056,1267,Healthy
"2024-10-19",108,Consumable,Ventilator,462,165,2450,10654.65,499,23,V001,0.9,11477,13772,Stockout Risk
"2024-10-20",101,Equipment,IV Drip,4317,667,3215,16184.33,59,18,V003,73.2,1062,1274,Potential Overstock
"2024-10-21",105,Equipment,X-ray Machine,228,452,3288,3419.11,458,17,V002,0.5,7786,9343,Stockout Risk
"2024-10-22",109,Consumable,IV Drip,2912,405,2109,17313.6,374,17,V001,7.8,6358,7630,Stockout Risk
"2024-10-23",108,Consumable,Surgical Mask,2206,315,3900,11709.1,392,1,V002,5.6,392,470,Healthy
"2024-10-24",109,Consumable,Ventilator,2519,338,1419,12310.83,415,19,V003,6.1,7885,9462,Stockout Risk
"2024-10-25",104,Equipment,X-ray Machine,2730,354,4914,11771.05,342,4,V001,8.0,1368,1642,Healthy
"2024-10-26",103,Consumable,Gloves,2100,525,4644,4426.77,31,2,V002,67.7,62,74,Healthy
"2024-10-27",100,Equipment,Ventilator,835,634,2523,3695.18,426,7,V002,2.0,2982,3578,Stockout Risk
"2024-10-28",103,Consumable,X-ray Machine,4289,21,1823,9547.31,9,21,V001,476.6,189,227,Potential Overstock
"2024-10-29",105,Consumable,Ventilator,757,835,1153,7127.18,66,1,V003,11.5,66,79,Healthy
"2024-10-30",100,Equipment,Surgical Mask,1415,444,1004,4817.11,110,9,V003,12.9,990,1188,Potential Overstock
"2024-10-31",102,Consumable,Gloves,4900,665,867,11625.6,470,25,V003,10.4,11750,14100,Stockout Risk
"2024-11-01",103,Consumable,IV Drip,3215,963,1517,17123.76,265,7,V001,12.1,1855,2226,Potential Overstock
"2024-11-02",108,Consumable,IV Drip,873,141,1277,11138.18,250,12,V001,3.5,3000,3600,Stockout Risk
"2024-11-03",101,Equipment,IV Drip,2275,896,3727,18130.51,238,5,V002,9.6,1190,1428,Healthy
"2024-11-04",103,Equipment,X-ray Machine,4906,966,1497,14336.04,50,22,V001,98.1,1100,1320,Potential Overstock
"2024-11-05",103,Consumable,Ventilator,694,945,5657,18008.8,373,6,V002,1.9,2238,2686,Stockout Risk
"2024-11-06",103,Consumable,Gloves,139,520,4602,4034.61,65,8,V001,2.1,520,624,Stockout Risk
"2024-11-07",107,Consumable,Gloves,2341,991,3886,11746.94,92,24,V003,25.4,2208,2650,Healthy
"2024-11-08",100,Equipment,X-ray Machine,3745,167,5193,7093.88,51,26,V003,73.4,1326,1591,Healthy
"2024-11-09",101,Consumable,Gloves,4804,959,5623,14874.23,177,20,V001,27.1,3540,4248,Potential Overstock
"2024-11-10",109,Consumable,Gloves,3243,77,4318,8997.87,474,11,V001,6.8,5214,6257,Stockout Risk
"2024-11-11",109,Equipment,Ventilator,2706,578,3839,8243.92,158,6,V003,17.1,948,1138,Healthy
"2024-11-12",100,Consumable,Ventilator,2445,213,2961,2860.0,72,6,V003,34.0,432,518,Potential Overstock
"2024-11-13",104,Equipment,Ventilator,2902,385,5319,7091.41,27,5,V001,107.5,135,162,Healthy
"2024-11-14",107,Consumable,X-ray Machine,1457,89,5902,13356.24,480,29,V003,3.0,13920,16704,Stockout Risk
"2024-11-15",103,Consumable,X-ray Machine,437,311,4676,10175.7,399,11,V001,1.1,4389,5267,Stockout Risk
"2024-11-16",102,Equipment,X-ray Machine,1732,612,1687,10382.88,378,26,V001,4.6,9828,11794,Stockout Risk
"2024-11-17",107,Equipment,Gloves,255,89,2088,12963.49,276,13,V001,0.9,3588,4306,Stockout Risk
"2024-11-18",102,Consumable,IV Drip,2149,235,5509,5517.11,127,17,V001,16.9,2159,2591,Stockout Risk
"2024-11-19",100,Consumable,Gloves,4707,21,5808,4415.31,137,26,V001,34.4,3562,4274,Potential Overstock
"2024-11-20",100,Equipment,Ventilator,2366,513,1469,19355.19,40,6,V001,59.2,240,288,Potential Overstock
"2024-11-21",104,Equipment,IV Drip,2964,143,4695,2757.06,414,14,V002,7.2,5796,6955,Stockout Risk
"2024-11-22",105,Equipment,Surgical Mask,3728,936,5517,1620.42,280,12,V001,13.3,3360,4032,Healthy
